project_id,group_id,id,common,scientific,family,order,habitat,range,size,tags,quickId,habitatNotes,management,additionalNotes,image,imageCredit
indoor-insects,stored-product,sawtoothed-grain-beetle,Sawtoothed Grain Beetle,Oryzaephilus surinamensis,Silvanidae,Coleoptera,Stored Products,Statewide,2.5–3 mm,Secondary feeder,"Six tooth-like projections on each side of pronotum
Slender, flattened body
Cannot fly indoors
Adults long-lived; populations build slowly","Cannot attack whole sound kernels; thrives on broken grain, flour, cereal, dried fruit.","Discard infested product, vacuum shelves, use sealed containers.",,,
indoor-insects,flies,fruit-fly,Fruit Fly,Drosophila spp.,Drosophilidae,Diptera,In Homes,Statewide,3 mm,Fermentation,"Bright red eyes
Tan to yellow-brown body
Slow, hovering flight near ripe fruit and drains
Larvae in fermenting organic film","Indicator of fermenting matter — overripe fruit, beer/soda residue, organic film in drains.",Remove breeding material. Drain cleaning gels for biofilm. Apple-cider-vinegar traps as monitors.,,,
indoor-insects,flies,drain-fly,Drain Fly,Psychodidae,Psychodidae,Diptera,In Homes,Statewide,2 mm,Biofilm,"Heart-shaped, fuzzy wings held roof-like
Body and wings densely hairy ('moth fly')
Weak fluttering flight near drains and sumps
Larvae in drain biofilm","No bite, no disease, but presence indicates standing biofilm.",Mechanical drain brushing followed by enzyme/bacterial drain gels. Chemical drain cleaners alone do not work.,,,
indoor-insects,spiders,brown-recluse,Brown Recluse,Loxosceles reclusa,Sicariidae,Araneae,In Homes,Southern Indiana,6–20 mm,"Venomous
Reclusive","Six eyes in three pairs (most spiders have eight)
Violin-shaped marking on cephalothorax
Uniform tan legs without banding or spines
Rarely on webs in open view",Bites are uncommon and require pressure against skin. Most suspected bites are misdiagnoses.,Glue boards along baseboards in undisturbed storage. Reduce clutter; shake out stored clothing.,,,
indoor-insects,spiders,northern-black-widow,Northern Black Widow,Latrodectus variolus,Theridiidae,Araneae,Around Structures,Statewide,8–13 mm,Venomous,"Glossy black with red dorsal spots and a split hourglass below
Small, irregular cobweb in protected outdoor sites
Females only — males are inconspicuous
Hangs upside-down in web",Bites painful and medically significant; rarely fatal in healthy adults.,"Exclusion, glove use in storage. Web removal disrupts harborage.",,,
indoor-insects,spiders,cellar-spider,Long-Bodied Cellar Spider,Pholcus phalangioides,Pholcidae,Araneae,In Homes,Statewide,7–8 mm body,Beneficial,"Extremely long, thin legs (often confused with daddy long-legs)
Pale, almost translucent body
Loose, tangled cobweb in corners
Vibrates rapidly when disturbed",Beneficial — captures other household spiders and insects.,Tolerate where possible. Web removal if appearance is a concern.,,,
indoor-insects,wasps,paper-wasp,Northern Paper Wasp,Polistes fuscatus,Vespidae,Hymenoptera,Around Structures,Statewide,16–20 mm,Social,"Open, single-comb umbrella nest hung by a stalk
Slender, long-legged in flight; legs trail
Reddish-brown with yellow markings, variable
Calm unless nest is disturbed","Stings painful but colonies small. Annual nests, abandoned each fall.",Only treat nests in high-contact areas. Evening application; freeze-style aerosols.,,,
indoor-insects,wasps,yellowjacket,Eastern Yellowjacket,Vespula maculifrons,Vespidae,Hymenoptera,Around Structures,Statewide,12–17 mm,Aggressive,"Bright yellow and black banding, no body hair
Enclosed nest in ground cavity, wall void, or tree base
Aggressive defense within 3–4 m of nest
Late-summer scavenging at picnics",Significant sting hazard; multiple stings possible. Allergic reactions are a real risk.,Mark entrance during daylight; treat at night. Professional removal for wall-void nests.,,,
indoor-insects,silverfish,silverfish,Silverfish,Lepisma saccharinum,Lepismatidae,Zygentoma,In Homes,Statewide,12–19 mm,Wingless,"Tapered, fish-shaped body with metallic silver scales
Three long tail filaments, two long antennae
Rapid, fish-like darting movement
Active at night in bathrooms, basements, attics","Surface grazing on starches, sizing in book bindings, wallpaper paste, stored paper.",Reduce humidity below 50%. Sticky monitors confirm activity. Long-lived; control is gradual.,,,
indoor-insects,silverfish,booklouse,Booklouse,Liposcelis spp.,Liposcelididae,Psocodea,In Homes,Statewide,1–2 mm,Tiny,"Translucent pale-tan body, soft-bodied
About the size of a pinhead
Wingless indoor forms most common
Found on damp paper, behind wallpaper, in pantries","Feeds on microscopic mold, not the paper itself. A moisture problem in disguise.","Dehumidify. The mold disappears, the booklice follow. No insecticide needed in most cases.",,,
